date,product_category,reseller_name,reseller,sales,incident_start_date,incident_end_date,incident_type,incident_days,is_holiday,holiday,release_type,is_release,is_incident,Monat,Wochentag,month_name,Month_k,Holiday_1,Incident_1,Weekdays_Monday,Weekdays_Saturday,Weekdays_Sunday,Weekdays_Thursday,Weekdays_Tuesday,Weekdays_Wednesday,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
2022-01-01,PO,Port,Port,513,,,,,1,Neujahr,,,0,2022-01-01,Saturday,January,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-02,PO,Port,Port,757,,,,,0,,,,0,2022-01-01,Sunday,January,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-03,PO,Port,Port,942,2022-01-03,2022-01-03,Einschränkung,1.0,0,,,,1,2022-01-01,Monday,January,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-04,PO,Port,Port,932,,,,,0,,,,0,2022-01-01,Tuesday,January,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-05,PO,Port,Port,855,2022-01-05,2022-01-05,Einschränkung,1.0,0,,,,1,2022-01-01,Wednesday,January,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2022-01-06,PO,Port,Port,737,2022-01-06,2022-01-06,Ausfall ,2.0,0,,,,1,2022-01-01,Thursday,January,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-07,PO,Port,Port,529,,,,,0,,,,0,2022-01-01,Friday,January,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-08,PO,Port,Port,831,2022-01-08,2022-01-08,Ausfall ,1.0,0,,,,1,2022-01-01,Saturday,January,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-09,PO,Port,Port,746,,,,,0,,,,0,2022-01-01,Sunday,January,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-01-10,PO,Port,Port,828,2022-01-10,2022-01-15,-,6.0,0,,,,1,2022-01-01,Monday,January,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
