ID,Year,Month,KW,Incident_Start,Incident_End,Impact_Assessment,Failure_Type,Failure_Duration,Weighted_Failure_Duration,Responsible,Root_Cause,Business_Impact,Solution,Notes_Ticket,Prio_Ticket,Brands,Channel,Impact_Online,Impact_Offline,Products,Retail_o2_o2S_Marked,Retail_o2_OPS_Marked,Retail_o2_MSD_Marked,Retail_o2_IDS_Marked,Retail_o2_TPI_Marked,Retail_o2_o2S_PO_GA_Loss,Retail_o2_o2S_VVL_GA_Loss,Retail_o2_o2S_FN_GA_Loss,Retail_o2_o2S_PP_GA_Loss,Retail_o2_o2S_Total_GA_Loss,Retail_o2_OPS_PO_GA_Loss,Retail_o2_OPS_VVL_GA_Loss,Retail_o2_OPS_FN_GA_Loss,Retail_o2_OPS_PP_GA_Loss,Retail_o2_OPS_Total_GA_Loss,Retail_o2_MSD_PO_GA_Loss,Retail_o2_MSD_VVL_GA_Loss,Retail_o2_MSD_FN_GA_Loss,Retail_o2_MSD_PP_GA_Loss,Retail_o2_MSD_Total_GA_Loss,Retail_o2_IDS_PO_GA_Loss,Retail_o2_IDS_VVL_GA_Loss,Retail_o2_IDS_FN_GA_Loss,Retail_o2_IDS_PP_GA_Loss,Retail_o2_IDS_Total_GA_Loss,Retail_o2_TPI_PO_GA_Loss,Retail_o2_TPI_VVL_GA_Loss,Retail_o2_TPI_FN_GA_Loss,Retail_o2_TPI_PP_GA_Loss,Retail_o2_TPI_Total_GA_Loss,Retail_o2_o2S_PO_Revenue_Loss,Retail_o2_o2S_VVL_Revenue_Loss,Retail_o2_o2S_myH_Revenue_Loss,Retail_o2_o2S_FN_Revenue_Loss,Retail_o2_o2S_PP_Revenue_Loss,Retail_o2_o2S_Total_Revenue_Loss,Retail_o2_OPS_PO_Revenue_Loss,Retail_o2_OPS_VVL_Revenue_Loss,Retail_o2_OPS_myH_Revenue_Loss,Retail_o2_OPS_FN_Revenue_Loss,Retail_o2_OPS_PP_Revenue_Loss,Retail_o2_OPS_Total_Revenue_Loss,Retail_o2_MSD_PO_Revenue_Loss,Retail_o2_MSD_VVL_Revenue_Loss,Retail_o2_MSD_myH_Revenue_Loss,Retail_o2_MSD_FN_Revenue_Loss,Retail_o2_MSD_PP_Revenue_Loss,Retail_o2_MSD_Total_Revenue_Loss,Retail_o2_IDS_PO_Revenue_Loss,Retail_o2_IDS_VVL_Revenue_Loss,Retail_o2_IDS_myH_Revenue_Loss,Retail_o2_IDS_FN_Revenue_Loss,Retail_o2_IDS_PP_Revenue_Loss,Retail_o2_IDS_Total_Revenue_Loss,Retail_o2_TPI_PO_Revenue_Loss,Retail_o2_TPI_VVL_Revenue_Loss,Retail_o2_TPI_myH_Revenue_Loss,Retail_o2_TPI_FN_Revenue_Loss,Retail_o2_TPI_PP_Revenue_Loss,Retail_o2_TPI_Total_Revenue_Loss,Retail_o2_Total_PO_Percentage,Retail_o2_Total_VVL_Percentage,Retail_o2_Total_FN_Percentage,Retail_o2_Total_PP_Percentage,Retail_o2_Total_PO_GA_Loss,Retail_o2_Total_VVL_GA_Loss,Retail_o2_Total_FN_GA_Loss,Retail_o2_Total_PP_GA_Loss,Retail_o2_Total_GA_Loss,Retail_o2_PO_Revenue_Loss,Retail_o2_VVL_Revenue_Loss,Retail_o2_myH_Revenue_Loss,Retail_o2_FN_Revenue_Loss,Retail_o2_PP_Revenue_Loss,Retail_o2_Total_Revenue_Loss,Online_o2_Marked,Online_blau_Marked,Online_TSI_Marked,Online_SC_Marked,Online_Port_Marked,Online_o2_PO_GA_Loss,Online_o2_VVL_GA_Loss,Online_blau_PO_GA_Loss,Online_blau_VVL_GA_Loss,Online_o2_FN_GA_Loss,Online_o2_PP_GA_Loss,Online_Total_GA_Loss,Online_o2_PO_Revenue_Loss,Online_o2_VVL_Revenue_Loss,Online_blau_PO_Revenue_Loss,Online_blau_VVL_Revenue_Loss,Online_myH_Revenue_Loss,Online_o2_FN_Revenue_Loss,Online_o2_PP_Revenue_Loss,Online_Total_Revenue_Loss,CSS_o2_PO_GA_Loss,CSS_o2_VVL_GA_Loss,CSS_blau_PO_GA_Loss,CSS_blau_VVL_GA_Loss,CSS_o2_FN_GA_Loss,CSS_Total_GA_Loss,CSS_o2_PO_Revenue_Loss,CSS_o2_VVL_Revenue_Loss,CSS_blau_PO_Revenue_Loss,CSS_blau_VVL_Revenue_Loss,CSS_myH_Revenue_Loss,CSS_o2_FN_Revenue_Loss,CSS_Total_Revenue_Loss,Total_o2_PO_GA_Loss,Total_o2_VVL_GA_Loss,Total_blau_PO_GA_Loss,Total_blau_VVL_GA_Loss,Total_FN_GA_Loss,Total_PP_GA_Loss,Total_GA_Loss,Total_o2_PO_Revenue_Loss,Total_o2_VVL_Revenue_Loss,Total_blau_PO_Revenue_Loss,Total_blau_VVL_Revenue_Loss,Total_myH_Revenue_Loss,Total_FN_Revenue_Loss,Total_PP_Revenue_Loss,Total_Revenue_Loss,Incident_Type
184,2021,1,4,1/26/21 12:54,1/29/21 15:09,High,Einschränkung,"74,25",,ST,,"All Postpaid customer orders in RCS are processed with a high delay. SPAIN (Service Provider) orders also affected.  // Alle Postpaid Kundenaufträge in RCS werden stark verzögert abgearbeitet. SPAIN (Service Provider) Aufträge sind auch betroffen. 

Am 26.1. 14:30 -17:00 und 28.1.21 11:30 -12:30 u. 14:30 -17:00  vereinzelt Impact für Online Services durch Salcus Reboots.
","under investigation.
Salcus DB Deployment.
",IMG3047023,,"O2, Blau","Selfcare, VVL, Online Shop,  Shop",o2 90 GA und Blau 50 GA,"51 Postpaid, 130 VVL, 15 DSL","Postpaid, Fixnet",x,x,x,x,,51,130,15,,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€26.844 ,€62.213 ,€18.222 ,€9.254 ,€0 ,€116.533 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,,,,,51 ,130 ,15 ,,196 ,€26.844 ,€62.213 ,€18.222 ,€9.254 ,€0 ,€116.533 ,x,x,,,,90 ,,50 ,,,,140 ,47.372 €,0 €,26.318 €,0 €,€14.095 ,0 €,0 €,87.784 €,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,141,130,50,0,15,0,336,74.216 €,62.213 €,26.318 €,0 €,€32.317 ,9.254 €,0 €,204.317 €,2. High
185,2021,2,5,2/3/21 13:30,2/3/21 17:00,High,Einschränkung,"3,50",,ST,,"Selfcare Portal and mobile App Services were unavailable. Login and all workflows impacted (e.g. invoice view, pack bookings, changes like barring, tariff changes, tariff prolongation). / Selfcare Portal und mobile App Services waren nicht verfügbar. Login und alle Workflows betroffen (z. B. Rechnungsansicht, Pack Bookings, Änderungen wie Barrings, Tarifänderungen, Vertragsverlängerung). ",Hohe CPU Auslastung auf der Salcus  Mirror DB. Ursache In Analyse,IMG3052148,,"O2, Blau","Selfcare, VVL, Online Shop, 
Shop","Blau 40 und O2 80
VVL Blau 50 und O2 125","135 PO, 37 VVL, 4 DSL, 57 PP","Postpaid, Prepaid, Fixnet",x,x,x,x,,135,37,4,57,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€71.057 ,€17.707 ,€17.316 ,€2.468 ,€7.421 ,€115.969 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,,,,,135 ,37 ,4 ,57 ,233 ,€71.057 ,€17.707 ,€17.316 ,€2.468 ,€7.421 ,€115.969 ,x,x,,,,80 ,125 ,40 ,50 ,,,295 ,42.108 €,59.820 €,21.054 €,23.928 €,€29.699 ,0 €,0 €,176.609 €,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,215,162,40,50,4,57,528,113.166 €,77.527 €,21.054 €,23.928 €,€47.015 ,2.468 €,7.421 €,292.579 €,2. High
187,2021,2,5,2/4/21 9:00,2/4/21 12:30,High,Einschränkung,"3,50",,ST,,"Selfcare Portal Services were unavailable for prepaid and postpaid. Login and all workflows are impacted (e.g. invoice view, pack bookings, changes like barring, tariff changes). DSL Availability Check not available. TeleSales Services were unavailable. Marques Services were unavailable. Pre and Postpaid Apps were unavailable. All Postpaid workflows were impacted (activations, deactivations, contract prolongation, pack bookings, move and changes like barring, tariff changes and porting). O2 Business App: all Services were unavailable, (e.g. login, invoice view, customer data view). All Shop Services were unavailable for all direct and indirect sales Channels. ","Change. 
Lan HW refresh DC Allach",IMG3052560,,"O2, Blau","Selfcare, VVL, Online Shop, 
Shop","Blau 40 und O2 80
VVL Blau 50 und O2 125","96 GA, 27 VVL, 3 DSL, 41 PP","Postpaid, Prepaid, Fixnet",x,x,x,x,x,96,27,3,41,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€50.530 ,€12.921 ,€12.383 ,€1.851 ,€5.338 ,€83.023 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,,,,,96 ,27 ,3 ,41 ,167 ,€50.530 ,€12.921 ,€12.383 ,€1.851 ,€5.338 ,€83.023 ,x,x,,,,80 ,125 ,40 ,50 ,,,295 ,42.108 €,59.820 €,21.054 €,23.928 €,€29.699 ,0 €,0 €,176.609 €,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,176,152,40,50,3,41,462,92.638 €,72.741 €,21.054 €,23.928 €,€42.082 ,1.851 €,5.338 €,259.632 €,2. High
199,2021,3,10,3/13/21 8:00,3/13/21 16:25,High,Ausfall,"8,42",,ST,,keine Netzwerkverbindung zum TEF Netz für alle TEF Shops,Ausfall des system Prozess zur IP Adressvergabe,,,"o2, Blau",Shops,"Nicht bewertbar, Überschneidung mit VPN Störung","63 GA, 11 VVL, 2 DSL, 21 Prepaid"," Postpaid, Prepaid, Fixnet ",x,,,,,63,11,2,21,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€33.160 ,€5.264 ,€7.450 ,€1.234 ,€2.734 ,€49.842 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,,,,,63 ,11 ,2 ,21 ,97 ,€33.160 ,€5.264 ,€7.450 ,€1.234 ,€2.734 ,€49.842 ,x,x,,,,,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,0 €,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,63,11,0,0,2,21,97,33.160 €,5.264 €,0 €,0 €,€7.450 ,1.234 €,2.734 €,49.842 €,3. Medium
202,2021,3,11,3/15/21 9:00,3/15/21 15:50,High,Ausfall,"6,83","6,83",ST,,"ePOS: Erhebliche Performance Einschränkugen und interne Server Fehler. Shops, Partner Shops. Auftragsverarbeitung für alle Produkte nicht möglich",software Defect nach R21-3,,,"o2, Blau","Shops
Partnershops
IDS
MSD",Kein Impact,"455 GA, 15 DSL, 269 Prepaid"," Postpaid, Prepaid, Fixnet,
myHandy",x,x,x,x,x,455,,15,269,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€239.490 ,€0 ,€45.807 ,€9.254 ,€35.024 ,€329.575 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,,,,,455 ,,15 ,269 ,739 ,€239.490 ,€0 ,€45.807 ,€9.254 ,€35.024 ,€329.575 ,x,x,,,,,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,0 €,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,455,0,0,0,15,269,739,239.490 €,0 €,0 €,0 €,€45.807 ,9.254 €,35.024 €,329.575 €,2. High
208,2021,3,12,3/22/21 12:15,3/22/21 20:00,High,Einschränkung,"7,75","3,88",ST,,"ePos Services stehen sporadisch nicht zur Verfügung. Kundenanfragen können in den Shops nicht bearbeitet werden. Alle Postpaid Workflows (bspw. Selfcare & Online Shops, DSL Workflow, Aktivierungen und Deaktivierungen, Vertragsverlängerungen, Pack Bookings, Änderungen wie Barrings, Tarifänderungen und Portierungen) werden nicht verarbeitet. 

","Failure of update statement in mirror Database caused lag i.e.(difference in replication between (Main DB and Mirror DB)) due to which data required for application was missing hence it cause automatic switch of al HA services to Main DB. This caused performance issue (High CPU utilization) hence it impacted the ePOS and o2 Portal services.

",,,"O2, Blau","Selfcare, VVL, Online Shop, Telesales, Shop",Ausfall siehe kummuliert in Zeile 208,"37 GA, 7 VVL, 2 DSL","Postpaid, Fixnet",,,,,,37,7,2,,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€19.475 ,€3.350 ,€4.430 ,€1.234 ,€0 ,€28.488 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,,,,,37 ,7 ,2 ,,46 ,€19.475 ,€3.350 ,€4.430 ,€1.234 ,€0 ,€28.488 ,x,x,x,,,,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,0 €,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,37,7,0,0,2,0,46,19.475 €,3.350 €,0 €,0 €,€4.430 ,1.234 €,0 €,28.488 €,3. Medium
215,2021,4,14,4/6/21 13:00,4/6/21 17:00,High,Einschränkung,"4,00","2,00",ST,,"Intermetierende performacne Probleme bei Salcus.
Verzögerte Order Verarbietung. Fehler bei VVL ",in Analyse,IMG000003087587/IMG000003087630,,"o2, Blau","Shop, Partnershops",Impact in unterer Zeile,"50 GA, 20 VVL + 1 DSL für Shops und Partnershop","Postpaid, Fixnet",x,x,,,,50,20,2,,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€26.318 ,€9.571 ,€7.047 ,€1.234 ,€0 ,€44.170 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,,,,,50 ,20 ,2 ,,72 ,€26.318 ,€9.571 ,€7.047 ,€1.234 ,€0 ,€44.170 ,x,x,,,,,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,0 €,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,50,20,0,0,2,0,72,26.318 €,9.571 €,0 €,0 €,€7.047 ,1.234 €,0 €,44.170 €,3. Medium
217,2021,4,14,4/8/21 8:50,4/8/21 13:50,High,Ausfall ,"5,00",,ST,,"Pre- und Postpaid Services sind für alle Call Center Agents beeinträchtigt. Anmeldung in den SelfCare Portalen, TeleSales, Marquez und ePos nicht möglich. Der IVR Worklow steht nicht zur Verfügung. DSL Verfügbarkeitscheck steht nicht zur Verfügung. Alle Pre- und Postpaid Workflows (bspw. Aktivierungen und Deaktivierungen, Pack Bookings, Änderungen wie Barrings, Tarifänderungen, VVLs und Portierungen) werden nicht verarbeitet. Arbor Billing betroffen. ",Ausfall Netzwerkkomponente. DC (Allach) LAN Network Card failure (of LDAP Server deuxvipy).,IMG3089462,,"O2, Blau","Web/Customer Self Care, Option Booking, Telesales, Online Shop, Shop / Dealer, Customer Care","Postpaid o2 150, Blau 100. VVL o2 400, VVL Blau 100 Prepaid o2 50 Blau 25","236 GA + 63 VVL +7 DSL +143 Prepaid für o2 Shops, Partnershops, Indirekter Kanal und MSD","Postpaid, Prepaid, Fixnet",x,x,x,x,x,236,63,7,143,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€124.219 ,€30.149 ,€30.102 ,€4.318 ,€18.619 ,€207.407 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,,,,,236 ,63 ,7 ,143 ,449 ,€124.219 ,€30.149 ,€30.102 ,€4.318 ,€18.619 ,€207.407 ,x,x,x,x,,150 ,400 ,100 ,100 ,,75 ,825 ,78.953 €,191.424 €,52.635 €,47.856 €,€75.506 ,0 €,9.765 €,456.139 €,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,386,463,100,100,7,218,1.274,203.172 €,221.573 €,52.635 €,47.856 €,€105.608 ,4.318 €,28.384 €,663.546 €,1. Significant
219,2021,4,14,4/9/21 12:40,4/9/21 13:10,High,Ausfall,"0,50","0,50",ST,,"Selfcare web, online shop für Bestandkunden, DSL Adress check, ePOS Workflows nicht Verfügbar",ausfall Salcus OSB durch fehlerhaft geplantem Change ,IMG000003090391,,"O2, Blau","Web Customer Self Care, Option Booking, Shop/Dealer ","Postpaid o2 50 und Blau 25, ",12 GA für o2 Shops und Partnershops,"Postpaid, Fixnet",,,,,,12,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€6.316 ,€0 ,€1.208 ,€0 ,€0 ,€7.524 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,,,,,12 ,,,,12 ,€6.316 ,€0 ,€1.208 ,€0 ,€0 ,€7.524 ,x,x,,x,,50 ,,,,,25 ,75 ,26.318 €,0 €,0 €,0 €,€5.034 ,0 €,3.255 €,34.606 €,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,62,0,0,0,0,25,87,32.634 €,0 €,0 €,0 €,€6.242 ,0 €,3.255 €,42.131 €,3. Medium
231,2021,5,19,5/14/21 9:30,5/14/21 11:30,High,Ausfall,,"2,00",ST,"2,00","Mobile Portal was unavailable. Contract extension & ePOS impacted. Login and all workflows were impacted like invoice view, pack bookings, changes like barring and tariff changes. Salcus was also experiencing performance issues impacting Call Centre Agents performing Contract Extensions .","High CPU on the Salcus mirror DB was observed, causing heavy performance issues on the mobile portal. DB execution plan was checked for SQL ID causing problems. ",,,"O2, Blau","Web/Customer Self Care, Option Booking, Telesales, Online Shop, Shops","Erhöhtes Aufkommen an der Hotline. 75 O2 GA, Blau 30 GA. VVL 100 o2 und 40 Blau","Impact für o2 Shops, Partnershops, Indirekter Kanal und MSD. 90 GA, 3 DSL, 72 Prepaid","Postpaid, Prepaid, Fixnet",x,x,x,x,x,90,,3,72,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,€47.372 ,€0 ,€9.061 ,€1.851 ,€9.374 ,€67.658 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,€0 ,,,,,90 ,,3 ,72 ,165 ,€47.372 ,€0 ,€9.061 ,€1.851 ,€9.374 ,€67.658 ,x,x,x,x,,75 ,100 ,30 ,40 ,,,245 ,39.476 €,47.856 €,15.791 €,19.142 €,€24.665 ,0 €,0 €,146.931 €,,,,,,0 ,0 €,0 €,0 €,0 €,€0 ,0 €,0 €,165,100,30,40,3,72,410,86.848 €,47.856 €,15.791 €,19.142 €,€33.726 ,1.851 €,9.374 €,214.588 €,2. High
