date,product_category,reseller_name,reseller,sales,incident_start_date,incident_end_date,is_incident,incident_type,incident_hours,incident_days,is_holiday,holiday,Monat,Wochentag,month_name,Month_k,Holiday_1,Incident_1,Weekdays_Monday,Weekdays_Saturday,Weekdays_Thursday,Weekdays_Tuesday,Weekdays_Wednesday,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
2022-01-01,PO,CR_LI_HOL/Zalisz K,MSD,946.0,,,0,,0,,1,Neujahr,2022-01-01,Saturday,January,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-03,PO,CR_LI_HOL/Zalisz K,MSD,1335.0,2022-01-03,2022-01-03,1,Einschränkung,2,1.0,0,,2022-01-01,Monday,January,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-04,PO,CR_LI_HOL/Zalisz K,MSD,624.0,,,0,,0,,0,,2022-01-01,Tuesday,January,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-05,PO,CR_LI_HOL/Zalisz K,MSD,570.0,2022-01-05,2022-01-05,1,Einschränkung,1,1.0,0,,2022-01-01,Wednesday,January,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-06,PO,CR_LI_HOL/Zalisz K,MSD,470.0,2022-01-06,2022-01-06,1,Ausfall ,14,2.0,0,,2022-01-01,Thursday,January,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07,PO,CR_LI_HOL/Zalisz K,MSD,890.0,,,0,,0,,0,,2022-01-01,Friday,January,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-08,PO,CR_LI_HOL/Zalisz K,MSD,984.0,2022-01-08,2022-01-08,1,Ausfall ,3,1.0,0,,2022-01-01,Saturday,January,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,PO,CR_LI_HOL/Zalisz K,MSD,1128.0,2022-01-10,2022-01-15,1,-,24,6.0,0,,2022-01-01,Monday,January,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,PO,CR_LI_HOL/Zalisz K,MSD,677.0,2022-01-11,2022-01-15,1,Ausfall,8,2.0,0,,2022-01-01,Tuesday,January,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-12,PO,CR_LI_HOL/Zalisz K,MSD,609.0,2022-01-12,2022-01-15,1,Ausfall,24,3.0,0,,2022-01-01,Wednesday,January,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-13,PO,CR_LI_HOL/Zalisz K,MSD,759.0,2022-01-13,2022-01-15,1,Ausfall,1,1.0,0,,2022-01-01,Thursday,January,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-14,PO,CR_LI_HOL/Zalisz K,MSD,977.0,2022-01-14,2022-01-15,1,Ausfall,2,1.0,0,,2022-01-01,Friday,January,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-15,PO,CR_LI_HOL/Zalisz K,MSD,1092.0,2022-01-15,2022-01-15,1,Einschränkung,6,1.0,0,,2022-01-01,Saturday,January,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-17,PO,CR_LI_HOL/Zalisz K,MSD,814.0,2022-01-17,2022-01-23,1,Einschränkung,24,18.0,0,,2022-01-01,Monday,January,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-18,PO,CR_LI_HOL/Zalisz K,MSD,833.0,2022-01-18,2022-01-23,1,Einschränkung,0,,0,,2022-01-01,Tuesday,January,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-19,PO,CR_LI_HOL/Zalisz K,MSD,501.0,2022-01-19,2022-01-23,1,Einschränkung,15,1.0,0,,2022-01-01,Wednesday,January,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-20,PO,CR_LI_HOL/Zalisz K,MSD,540.0,2022-01-20,2022-01-23,1,Einschränkung,9,3.0,0,,2022-01-01,Thursday,January,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-21,PO,CR_LI_HOL/Zalisz K,MSD,801.0,2022-01-21,2022-01-23,1,-,0,,0,,2022-01-01,Friday,January,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-22,PO,CR_LI_HOL/Zalisz K,MSD,1206.0,2022-01-22,2022-01-23,1,-,0,,0,,2022-01-01,Saturday,January,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-24,PO,CR_LI_HOL/Zalisz K,MSD,757.0,2022-01-24,2022-01-30,1,-,24,7.0,0,,2022-01-01,Monday,January,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,PO,CR_LI_HOL/Zalisz K,MSD,545.0,2022-01-25,2022-01-30,1,Einschränkung,24,3.0,0,,2022-01-01,Tuesday,January,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-26,PO,CR_LI_HOL/Zalisz K,MSD,833.0,2022-01-26,2022-01-30,1,Einschränkung,0,,0,,2022-01-01,Wednesday,January,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-27,PO,CR_LI_HOL/Zalisz K,MSD,748.0,2022-01-27,2022-01-30,1,Einschränkung,11,2.0,0,,2022-01-01,Thursday,January,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-28,PO,CR_LI_HOL/Zalisz K,MSD,872.0,2022-01-28,2022-01-30,1,-,0,,0,,2022-01-01,Friday,January,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-29,PO,CR_LI_HOL/Zalisz K,MSD,1133.0,2022-01-29,2022-01-31,1,Einschränkung,24,3.0,0,,2022-01-01,Saturday,January,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-31,PO,CR_LI_HOL/Zalisz K,MSD,1176.0,2022-01-31,2022-01-31,1,Einschränkung,0,,0,,2022-01-01,Monday,January,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,PO,CR_LI_HOL/Zalisz K,MSD,1816.0,2022-02-01,2022-02-05,1,Einschränkung,24,13.0,0,,2022-02-01,Tuesday,February,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-02,PO,CR_LI_HOL/Zalisz K,MSD,546.0,2022-02-02,2022-02-05,1,Einschränkung,0,,0,,2022-02-01,Wednesday,February,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2022-02-03,PO,CR_LI_HOL/Zalisz K,MSD,822.0,2022-02-03,2022-02-05,1,Einschränkung,0,,0,,2022-02-01,Thursday,February,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-04,PO,CR_LI_HOL/Zalisz K,MSD,831.0,2022-02-04,2022-02-05,1,Einschränkung,0,,0,,2022-02-01,Friday,February,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-05,PO,CR_LI_HOL/Zalisz K,MSD,1053.0,2022-02-05,2022-02-05,1,Einschränkung,0,,0,,2022-02-01,Saturday,February,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-07,PO,CR_LI_HOL/Zalisz K,MSD,994.0,2022-02-07,2022-02-09,1,Einschränkung,24,4.0,0,,2022-02-01,Monday,February,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-08,PO,CR_LI_HOL/Zalisz K,MSD,670.0,2022-02-08,2022-02-09,1,Einschränkung,8,3.0,0,,2022-02-01,Tuesday,February,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-09,PO,CR_LI_HOL/Zalisz K,MSD,549.0,2022-02-09,2022-02-09,1,-,10,1.0,0,,2022-02-01,Wednesday,February,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2022-02-10,PO,CR_LI_HOL/Zalisz K,MSD,838.0,2022-02-10,2022-02-11,1,Einschränkung,24,3.0,0,,2022-02-01,Thursday,February,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-02-11,PO,CR_LI_HOL/Zalisz K,MSD,845.0,2022-02-11,2022-02-11,1,Einschränkung,6,1.0,0,,2022-02-01,Friday,February,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
