date,product_category,reseller_name,reseller,sales,incident_start_date,incident_end_date,incident_type,incident_days,is_holiday,holiday,release_type,is_release,is_incident
2022-01-01,PO,Selfcare,SC,123,,,,,1,Neujahr,,,
2022-01-02,PO,Selfcare,SC,144,,,,,,,,,
2022-01-04,PO,Selfcare,SC,190,,,,,,,,,
2022-01-07,PO,Selfcare,SC,91,,,,,,,,,
2022-01-09,PO,Selfcare,SC,155,,,,,,,,,
2022-01-16,PO,Selfcare,SC,130,,,,,,,Release R22-1,1,1
2022-02-13,PO,Selfcare,SC,196,,,,,,,,,
2022-02-15,PO,Selfcare,SC,171,,,,,,,,,
2022-02-19,PO,Selfcare,SC,122,,,,,,,,,
2022-02-22,PO,Selfcare,SC,149,,,,,,,,,
2022-02-26,PO,Selfcare,SC,147,,,,,,,,,
2022-02-27,PO,Selfcare,SC,165,,,,,,,,,
2022-02-28,PO,Selfcare,SC,156,,,,,,,,,
2022-03-02,PO,Selfcare,SC,150,,,,,,,,,
2022-03-05,PO,Selfcare,SC,128,,,,,,,,,
2022-03-28,PO,Selfcare,SC,172,,,,,,,,,
2022-04-02,PO,Selfcare,SC,164,,,,,,,,,
2022-04-03,PO,Selfcare,SC,168,,,,,,,,,
2022-04-04,PO,Selfcare,SC,192,,,,,,,,,
2022-04-05,PO,Selfcare,SC,183,,,,,,,,,
2022-04-09,PO,Selfcare,SC,145,,,,,,,,,
2022-04-10,PO,Selfcare,SC,176,,,,,,,,,
2022-04-15,PO,Selfcare,SC,110,,,,,1,Karfreitag,,,
2022-04-16,PO,Selfcare,SC,110,,,,,,,,,
2022-04-17,PO,Selfcare,SC,114,,,,,,,,,
2022-04-18,PO,Selfcare,SC,153,,,,,1,Ostermontag,,,
2022-04-20,PO,Selfcare,SC,140,,,,,,,,,
2022-05-01,PO,Selfcare,SC,168,,,,,1,Erster Mai,,,
2022-05-07,PO,Selfcare,SC,134,,,,,,,Patch-Pool2  T-Systems,1,1
2022-05-08,PO,Selfcare,SC,103,,,,,,,Patch-Pool2  T-Systems,1,1
2022-05-12,PO,Selfcare,SC,267,,,,,,,,,
2022-05-17,PO,Selfcare,SC,168,,,,,,,,,
2022-05-20,PO,Selfcare,SC,180,,,,,,,,,
2022-05-22,PO,Selfcare,SC,219,,,,,,,Release R22-5,1,1
2022-05-25,PO,Selfcare,SC,192,,,,,,,,,
2022-05-26,PO,Selfcare,SC,192,,,,,1,Christi Himmelfahrt,,,
2022-05-28,PO,Selfcare,SC,167,,,,,,,,,
2022-05-29,PO,Selfcare,SC,179,,,,,,,,,
2022-05-30,PO,Selfcare,SC,179,,,,,,,,,
2022-06-01,PO,Selfcare,SC,196,,,,,,,,,
2022-06-12,PO,Selfcare,SC,181,,,,,,,PROD TCS-Patching Pool 4,1,1
2022-06-13,PO,Selfcare,SC,175,,,,,,,,,
2022-06-15,PO,Selfcare,SC,178,,,,,,,,,
2022-06-16,PO,Selfcare,SC,161,,,,,,,,,
2022-06-18,PO,Selfcare,SC,139,,,,,,,,,
2022-06-19,PO,Selfcare,SC,133,,,,,,,,,
2022-06-20,PO,Selfcare,SC,151,,,,,,,,,
2022-06-21,PO,Selfcare,SC,146,,,,,,,,,
2022-06-22,PO,Selfcare,SC,160,,,,,,,,,
2022-06-23,PO,Selfcare,SC,139,,,,,,,,,
2022-06-25,PO,Selfcare,SC,138,,,,,,,,,
2022-06-26,PO,Selfcare,SC,162,,,,,,,,,
2022-06-27,PO,Selfcare,SC,154,,,,,,,,,
2022-06-29,PO,Selfcare,SC,161,,,,,,,,,
2022-07-02,PO,Selfcare,SC,149,,,,,,,,,
2022-07-03,PO,Selfcare,SC,179,,,,,,,,,
2022-07-04,PO,Selfcare,SC,203,,,,,,,,,
2022-07-05,PO,Selfcare,SC,144,,,,,,,,,
2022-07-07,PO,Selfcare,SC,174,,,,,,,,,
2022-07-09,PO,Selfcare,SC,143,,,,,,,,,
2022-07-10,PO,Selfcare,SC,197,,,,,,,,,
2022-07-14,PO,Selfcare,SC,169,,,,,,,,,
2022-07-16,PO,Selfcare,SC,157,,,,,,,,,
2022-07-17,PO,Selfcare,SC,169,,,,,,,,,
2022-07-18,PO,Selfcare,SC,137,,,,,,,,,
2022-07-19,PO,Selfcare,SC,168,,,,,,,,,
2022-07-20,PO,Selfcare,SC,183,,,,,,,,,
2022-07-24,PO,Selfcare,SC,130,,,,,,,Release R22-5,1,1
2022-07-28,PO,Selfcare,SC,149,,,,,,,,,
2022-07-29,PO,Selfcare,SC,150,,,,,,,,,
2022-07-30,PO,Selfcare,SC,154,,,,,,,,,
2022-07-31,PO,Selfcare,SC,170,,,,,,,,,
2022-08-01,PO,Selfcare,SC,188,,,,,,,,,
2022-08-02,PO,Selfcare,SC,208,,,,,,,,,
2022-08-03,PO,Selfcare,SC,151,,,,,,,,,
2022-08-07,PO,Selfcare,SC,159,,,,,,,,,
2022-08-11,PO,Selfcare,SC,159,,,,,,,,,
2022-08-14,PO,Selfcare,SC,29,,,,,,,,,
2022-08-18,PO,Selfcare,SC,200,,,,,,,,,
2022-08-19,PO,Selfcare,SC,188,,,,,,,,,
2022-08-20,PO,Selfcare,SC,173,,,,,,,,,
2022-08-21,PO,Selfcare,SC,186,,,,,,,,,
2022-08-25,PO,Selfcare,SC,209,,,,,,,,,
2022-08-26,PO,Selfcare,SC,152,,,,,,,,,
2022-08-27,PO,Selfcare,SC,183,,,,,,,,,
2022-08-28,PO,Selfcare,SC,195,,,,,,,,,
2022-08-31,PO,Selfcare,SC,201,,,,,,,,,
2022-09-05,PO,Selfcare,SC,241,,,,,,,,,
2022-09-07,PO,Selfcare,SC,167,,,,,,,,,
2022-09-11,PO,Selfcare,SC,389,,,,,,,,,
2022-09-12,PO,Selfcare,SC,332,,,,,,,,,
2022-09-14,PO,Selfcare,SC,293,,,,,,,,,
2022-09-16,PO,Selfcare,SC,232,,,,,,,,,
2022-09-18,PO,Selfcare,SC,193,,,,,,,Release R22-5,1,1
2022-09-21,PO,Selfcare,SC,166,,,,,,,,,
2022-09-25,PO,Selfcare,SC,203,,,,,,,,,
2022-10-03,PO,Selfcare,SC,207,,,,,1,Tag der Deutschen Einheit,,,
2022-10-06,PO,Selfcare,SC,203,,,,,,,,,
2022-10-08,PO,Selfcare,SC,198,,,,,,,,,
2022-10-09,PO,Selfcare,SC,171,,,,,,,,,
2022-10-22,PO,Selfcare,SC,135,,,,,,,Patch-Pool2 T-Systems,1,1
2022-10-26,PO,Selfcare,SC,205,,,,,,,,,
2022-10-28,PO,Selfcare,SC,156,,,,,,,,,
2022-10-29,PO,Selfcare,SC,152,,,,,,,PROD ATOS-Patching Pool 4,1,1
2022-10-30,PO,Selfcare,SC,146,,,,,,,PROD ATOS-Patching Pool 4,1,1
2022-10-31,PO,Selfcare,SC,141,,,,,,,,,
2022-11-01,PO,Selfcare,SC,189,,,,,,,,,
2022-11-02,PO,Selfcare,SC,191,,,,,,,,,
2022-11-05,PO,Selfcare,SC,183,,,,,,,,,
2022-11-06,PO,Selfcare,SC,203,,,,,,,,,
2022-11-07,PO,Selfcare,SC,201,,,,,,,,,
2022-11-12,PO,Selfcare,SC,144,,,,,,,Release R22-11,1,1
2022-11-13,PO,Selfcare,SC,192,,,,,,,Release R22-11,1,1
2022-11-20,PO,Selfcare,SC,353,,,,,,,,,
2022-11-21,PO,Selfcare,SC,317,,,,,,,,,
2022-11-25,PO,Selfcare,SC,585,,,,,,,,,
2022-11-26,PO,Selfcare,SC,339,,,,,,,,,
2022-11-27,PO,Selfcare,SC,381,,,,,,,,,
2022-11-28,PO,Selfcare,SC,333,,,,,,,,,
2022-11-29,PO,Selfcare,SC,373,,,,,,,,,
2022-11-30,PO,Selfcare,SC,252,,,,,,,,,
2022-12-03,PO,Selfcare,SC,261,,,,,,,,,
2022-12-04,PO,Selfcare,SC,313,,,,,,,,,
2022-12-05,PO,Selfcare,SC,308,,,,,,,,,
2022-12-06,PO,Selfcare,SC,221,,,,,,,,,
2022-12-08,PO,Selfcare,SC,282,,,,,,,,,
2022-12-09,PO,Selfcare,SC,266,,,,,,,,,
2022-12-10,PO,Selfcare,SC,260,,,,,,,,,
2022-12-11,PO,Selfcare,SC,295,,,,,,,,,
2022-12-15,PO,Selfcare,SC,298,,,,,,,,,
2022-12-16,PO,Selfcare,SC,238,,,,,,,,,
2022-12-17,PO,Selfcare,SC,290,,,,,,,,,
2022-12-18,PO,Selfcare,SC,300,,,,,,,,,
2022-12-21,PO,Selfcare,SC,262,,,,,,,,,
2022-12-22,PO,Selfcare,SC,247,,,,,,,,,
2022-12-23,PO,Selfcare,SC,211,,,,,,,,,
2022-12-24,PO,Selfcare,SC,160,,,,,,,,,
2022-12-25,PO,Selfcare,SC,247,,,,,1,Erster Weihnachtstag,,,
2022-12-26,PO,Selfcare,SC,216,,,,,1,Zweiter Weihnachtstag,,,
2022-12-28,PO,Selfcare,SC,276,,,,,,,,,
2022-12-29,PO,Selfcare,SC,232,,,,,,,,,
2022-12-31,PO,Selfcare,SC,164,,,,,,,,,
