date,product_category,reseller_name,reseller,sales,incident_start_date,incident_end_date,is_incident,incident_type,incident_hours,incident_days,is_holiday,holiday
2022-01-01,PO,CR_LI_HOL/Zalisz K,MSD,946.0,,,,,,,1,Neujahr
2022-01-04,PO,CR_LI_HOL/Zalisz K,MSD,624.0,,,,,,,,
2022-01-07,PO,CR_LI_HOL/Zalisz K,MSD,890.0,,,,,,,,
2022-02-15,PO,CR_LI_HOL/Zalisz K,MSD,1140.0,,,,,,,,
2022-02-19,PO,CR_LI_HOL/Zalisz K,MSD,1283.0,,,,,,,,
2022-02-22,PO,CR_LI_HOL/Zalisz K,MSD,903.0,,,,,,,,
2022-02-26,PO,CR_LI_HOL/Zalisz K,MSD,1340.0,,,,,,,,
2022-02-28,PO,CR_LI_HOL/Zalisz K,MSD,2002.0,,,,,,,,
2022-03-02,PO,CR_LI_HOL/Zalisz K,MSD,601.0,,,,,,,,
2022-03-05,PO,CR_LI_HOL/Zalisz K,MSD,1195.0,,,,,,,,
2022-03-28,PO,CR_LI_HOL/Zalisz K,MSD,897.0,,,,,,,,
2022-04-02,PO,CR_LI_HOL/Zalisz K,MSD,789.0,,,,,,,,
2022-04-04,PO,CR_LI_HOL/Zalisz K,MSD,843.0,,,,,,,,
2022-04-05,PO,CR_LI_HOL/Zalisz K,MSD,465.0,,,,,,,,
2022-04-09,PO,CR_LI_HOL/Zalisz K,MSD,883.0,,,,,,,,
2022-04-15,PO,CR_LI_HOL/Zalisz K,MSD,244.0,,,,,,,1,Karfreitag
2022-04-16,PO,CR_LI_HOL/Zalisz K,MSD,1037.0,,,,,,,,
2022-04-18,PO,CR_LI_HOL/Zalisz K,MSD,133.0,,,,,,,1,Ostermontag
2022-04-20,PO,CR_LI_HOL/Zalisz K,MSD,719.0,,,,,,,,
2022-05-07,PO,CR_LI_HOL/Zalisz K,MSD,880.0,,,,,,,,
2022-05-12,PO,CR_LI_HOL/Zalisz K,MSD,716.0,,,,,,,,
2022-05-17,PO,CR_LI_HOL/Zalisz K,MSD,621.0,,,,,,,,
2022-05-20,PO,CR_LI_HOL/Zalisz K,MSD,828.0,,,,,,,,
2022-05-25,PO,CR_LI_HOL/Zalisz K,MSD,729.0,,,,,,,,
2022-05-26,PO,CR_LI_HOL/Zalisz K,MSD,122.0,,,,,,,1,Christi Himmelfahrt
2022-05-28,PO,CR_LI_HOL/Zalisz K,MSD,1076.0,,,,,,,,
2022-05-30,PO,CR_LI_HOL/Zalisz K,MSD,1131.0,,,,,,,,
2022-06-01,PO,CR_LI_HOL/Zalisz K,MSD,1346.0,,,,,,,,
2022-06-13,PO,CR_LI_HOL/Zalisz K,MSD,1038.0,,,,,,,,
2022-06-15,PO,CR_LI_HOL/Zalisz K,MSD,1006.0,,,,,,,,
2022-06-16,PO,CR_LI_HOL/Zalisz K,MSD,331.0,,,,,,,,
2022-06-18,PO,CR_LI_HOL/Zalisz K,MSD,1304.0,,,,,,,,
2022-06-20,PO,CR_LI_HOL/Zalisz K,MSD,1441.0,,,,,,,,
2022-06-21,PO,CR_LI_HOL/Zalisz K,MSD,927.0,,,,,,,,
2022-06-22,PO,CR_LI_HOL/Zalisz K,MSD,807.0,,,,,,,,
2022-06-23,PO,CR_LI_HOL/Zalisz K,MSD,742.0,,,,,,,,
2022-06-25,PO,CR_LI_HOL/Zalisz K,MSD,1292.0,,,,,,,,
2022-06-27,PO,CR_LI_HOL/Zalisz K,MSD,1090.0,,,,,,,,
2022-06-29,PO,CR_LI_HOL/Zalisz K,MSD,703.0,,,,,,,,
2022-07-02,PO,CR_LI_HOL/Zalisz K,MSD,1281.0,,,,,,,,
2022-07-04,PO,CR_LI_HOL/Zalisz K,MSD,1482.0,,,,,,,,
2022-07-05,PO,CR_LI_HOL/Zalisz K,MSD,907.0,,,,,,,,
2022-07-07,PO,CR_LI_HOL/Zalisz K,MSD,964.0,,,,,,,,
2022-07-09,PO,CR_LI_HOL/Zalisz K,MSD,1164.0,,,,,,,,
2022-07-14,PO,CR_LI_HOL/Zalisz K,MSD,699.0,,,,,,,,
2022-07-16,PO,CR_LI_HOL/Zalisz K,MSD,840.0,,,,,,,,
2022-07-18,PO,CR_LI_HOL/Zalisz K,MSD,802.0,,,,,,,,
2022-07-19,PO,CR_LI_HOL/Zalisz K,MSD,666.0,,,,,,,,
2022-07-20,PO,CR_LI_HOL/Zalisz K,MSD,688.0,,,,,,,,
2022-07-28,PO,CR_LI_HOL/Zalisz K,MSD,798.0,,,,,,,,
2022-07-29,PO,CR_LI_HOL/Zalisz K,MSD,1054.0,,,,,,,,
2022-07-30,PO,CR_LI_HOL/Zalisz K,MSD,1339.0,,,,,,,,
2022-08-01,PO,CR_LI_HOL/Zalisz K,MSD,2011.0,,,,,,,,
2022-08-02,PO,CR_LI_HOL/Zalisz K,MSD,793.0,,,,,,,,
2022-08-03,PO,CR_LI_HOL/Zalisz K,MSD,734.0,,,,,,,,
2022-08-11,PO,CR_LI_HOL/Zalisz K,MSD,786.0,,,,,,,,
2022-08-18,PO,CR_LI_HOL/Zalisz K,MSD,787.0,,,,,,,,
2022-08-19,PO,CR_LI_HOL/Zalisz K,MSD,761.0,,,,,,,,
2022-08-20,PO,CR_LI_HOL/Zalisz K,MSD,1037.0,,,,,,,,
2022-08-25,PO,CR_LI_HOL/Zalisz K,MSD,765.0,,,,,,,,
2022-08-26,PO,CR_LI_HOL/Zalisz K,MSD,810.0,,,,,,,,
2022-08-27,PO,CR_LI_HOL/Zalisz K,MSD,1161.0,,,,,,,,
2022-08-31,PO,CR_LI_HOL/Zalisz K,MSD,1437.0,,,,,,,,
2022-09-05,PO,CR_LI_HOL/Zalisz K,MSD,1236.0,,,,,,,,
2022-09-07,PO,CR_LI_HOL/Zalisz K,MSD,767.0,,,,,,,,
2022-09-12,PO,CR_LI_HOL/Zalisz K,MSD,1102.0,,,,,,,,
2022-09-14,PO,CR_LI_HOL/Zalisz K,MSD,534.0,,,,,,,,
2022-09-16,PO,CR_LI_HOL/Zalisz K,MSD,699.0,,,,,,,,
2022-09-21,PO,CR_LI_HOL/Zalisz K,MSD,502.0,,,,,,,,
2022-10-03,PO,CR_LI_HOL/Zalisz K,MSD,124.0,,,,,,,1,Tag der Deutschen Einheit
2022-10-06,PO,CR_LI_HOL/Zalisz K,MSD,681.0,,,,,,,,
2022-10-08,PO,CR_LI_HOL/Zalisz K,MSD,1007.0,,,,,,,,
2022-10-22,PO,CR_LI_HOL/Zalisz K,MSD,1460.0,,,,,,,,
2022-10-26,PO,CR_LI_HOL/Zalisz K,MSD,743.0,,,,,,,,
2022-10-28,PO,CR_LI_HOL/Zalisz K,MSD,1151.0,,,,,,,,
2022-10-29,PO,CR_LI_HOL/Zalisz K,MSD,1389.0,,,,,,,,
2022-10-31,PO,CR_LI_HOL/Zalisz K,MSD,1145.0,,,,,,,,
2022-11-01,PO,CR_LI_HOL/Zalisz K,MSD,1101.0,,,,,,,,
2022-11-02,PO,CR_LI_HOL/Zalisz K,MSD,948.0,,,,,,,,
2022-11-05,PO,CR_LI_HOL/Zalisz K,MSD,1247.0,,,,,,,,
2022-11-07,PO,CR_LI_HOL/Zalisz K,MSD,1100.0,,,,,,,,
2022-11-12,PO,CR_LI_HOL/Zalisz K,MSD,1227.0,,,,,,,,
2022-11-21,PO,CR_LI_HOL/Zalisz K,MSD,1315.0,,,,,,,,
2022-11-25,PO,CR_LI_HOL/Zalisz K,MSD,2750.0,,,,,,,,
2022-11-26,PO,CR_LI_HOL/Zalisz K,MSD,1685.0,,,,,,,,
2022-11-28,PO,CR_LI_HOL/Zalisz K,MSD,2195.0,,,,,,,,
2022-11-29,PO,CR_LI_HOL/Zalisz K,MSD,1223.0,,,,,,,,
2022-11-30,PO,CR_LI_HOL/Zalisz K,MSD,1692.0,,,,,,,,
2022-12-03,PO,CR_LI_HOL/Zalisz K,MSD,839.0,,,,,,,,
2022-12-05,PO,CR_LI_HOL/Zalisz K,MSD,1120.0,,,,,,,,
2022-12-06,PO,CR_LI_HOL/Zalisz K,MSD,614.0,,,,,,,,
2022-12-08,PO,CR_LI_HOL/Zalisz K,MSD,724.0,,,,,,,,
2022-12-09,PO,CR_LI_HOL/Zalisz K,MSD,802.0,,,,,,,,
2022-12-10,PO,CR_LI_HOL/Zalisz K,MSD,1137.0,,,,,,,,
2022-12-15,PO,CR_LI_HOL/Zalisz K,MSD,1341.0,,,,,,,,
2022-12-16,PO,CR_LI_HOL/Zalisz K,MSD,1182.0,,,,,,,,
2022-12-17,PO,CR_LI_HOL/Zalisz K,MSD,1529.0,,,,,,,,
2022-12-21,PO,CR_LI_HOL/Zalisz K,MSD,973.0,,,,,,,,
2022-12-22,PO,CR_LI_HOL/Zalisz K,MSD,1158.0,,,,,,,,
2022-12-23,PO,CR_LI_HOL/Zalisz K,MSD,1390.0,,,,,,,,
2022-12-24,PO,CR_LI_HOL/Zalisz K,MSD,652.0,,,,,,,,
2022-12-26,PO,CR_LI_HOL/Zalisz K,MSD,136.0,,,,,,,1,Zweiter Weihnachtstag
2022-12-28,PO,CR_LI_HOL/Zalisz K,MSD,820.0,,,,,,,,
2022-12-29,PO,CR_LI_HOL/Zalisz K,MSD,1058.0,,,,,,,,
2022-12-31,PO,CR_LI_HOL/Zalisz K,MSD,840.0,,,,,,,,
2023-01-13,PO,CR_LI_HOL/Zalisz K,MSD,1341.0,,,,,,,,
2023-01-14,PO,CR_LI_HOL/Zalisz K,MSD,1201.0,,,,,,,,
2023-01-16,PO,CR_LI_HOL/Zalisz K,MSD,1078.0,,,,,,,,
2023-01-21,PO,CR_LI_HOL/Zalisz K,MSD,638.0,,,,,,,,
2023-01-24,PO,CR_LI_HOL/Zalisz K,MSD,760.0,,,,,,,,
2023-01-25,PO,CR_LI_HOL/Zalisz K,MSD,635.0,,,,,,,,
2023-01-26,PO,CR_LI_HOL/Zalisz K,MSD,695.0,,,,,,,,
2023-01-28,PO,CR_LI_HOL/Zalisz K,MSD,1033.0,,,,,,,,
2023-02-04,PO,CR_LI_HOL/Zalisz K,MSD,1034.0,,,,,,,,
2023-02-06,PO,CR_LI_HOL/Zalisz K,MSD,972.0,,,,,,,,
2023-02-24,PO,CR_LI_HOL/Zalisz K,MSD,914.0,,,,,,,,
2023-02-25,PO,CR_LI_HOL/Zalisz K,MSD,1249.0,,,,,,,,
2023-02-28,PO,CR_LI_HOL/Zalisz K,MSD,857.0,,,,,,,,
2023-03-03,PO,CR_LI_HOL/Zalisz K,MSD,873.0,,,,,,,,
2023-03-04,PO,CR_LI_HOL/Zalisz K,MSD,1266.0,,,,,,,,
2023-03-07,PO,CR_LI_HOL/Zalisz K,MSD,632.0,,,,,,,,
2023-03-08,PO,CR_LI_HOL/Zalisz K,MSD,601.0,,,,,,,,
2023-03-17,PO,CR_LI_HOL/Zalisz K,MSD,846.0,,,,,,,,
2023-03-18,PO,CR_LI_HOL/Zalisz K,MSD,990.0,,,,,,,,
2023-03-24,PO,CR_LI_HOL/Zalisz K,MSD,774.0,,,,,,,,
2023-03-25,PO,CR_LI_HOL/Zalisz K,MSD,1158.0,,,,,,,,
2023-03-27,PO,CR_LI_HOL/Zalisz K,MSD,1090.0,,,,,,,,
2023-03-28,PO,CR_LI_HOL/Zalisz K,MSD,674.0,,,,,,,,
2023-03-31,PO,CR_LI_HOL/Zalisz K,MSD,1282.0,,,,,,,,
2023-04-01,PO,CR_LI_HOL/Zalisz K,MSD,2034.0,,,,,,,,
2023-04-22,PO,CR_LI_HOL/Zalisz K,MSD,951.0,,,,,,,,
2023-04-24,PO,CR_LI_HOL/Zalisz K,MSD,1056.0,,,,,,,,
2023-04-25,PO,CR_LI_HOL/Zalisz K,MSD,741.0,,,,,,,,
2023-04-28,PO,CR_LI_HOL/Zalisz K,MSD,1056.0,,,,,,,,
2023-05-01,PO,CR_LI_HOL/Zalisz K,MSD,781.0,,,,,,,1,Erster Mai
2023-05-02,PO,CR_LI_HOL/Zalisz K,MSD,1116.0,,,,,,,,
2022-01-21,PO,CR_LI_HOL/Zalisz K,MSD,801.0,2022-01-21,2022-01-23,1,-,,,,
2022-01-22,PO,CR_LI_HOL/Zalisz K,MSD,1206.0,2022-01-22,2022-01-23,1,-,,,,
2022-01-28,PO,CR_LI_HOL/Zalisz K,MSD,872.0,2022-01-28,2022-01-30,1,-,,,,
2022-03-12,PO,CR_LI_HOL/Zalisz K,MSD,1015.0,2022-03-12,2022-03-13,1,-,,,,
2022-03-19,PO,CR_LI_HOL/Zalisz K,MSD,972.0,2022-03-19,2022-03-20,1,-,,,,
2022-03-25,PO,CR_LI_HOL/Zalisz K,MSD,747.0,2022-03-25,2022-03-27,1,-,,,,
2022-03-26,PO,CR_LI_HOL/Zalisz K,MSD,934.0,2022-03-26,2022-03-27,1,-,,,,
2022-07-01,PO,CR_LI_HOL/Zalisz K,MSD,1981.0,2022-07-01,2022-07-01,1,-,,,,
2022-09-30,PO,CR_LI_HOL/Zalisz K,MSD,1494.0,2022-09-30,2022-10-02,1,-,,,,
2022-10-01,PO,CR_LI_HOL/Zalisz K,MSD,1774.0,2022-10-01,2022-10-02,1,-,,,,
2023-01-03,PO,CR_LI_HOL/Zalisz K,MSD,845.0,2023-01-03,2023-01-09,1,-,,,,
2023-01-04,PO,CR_LI_HOL/Zalisz K,MSD,750.0,2023-01-04,2023-01-09,1,-,,,,
2023-01-05,PO,CR_LI_HOL/Zalisz K,MSD,910.0,2023-01-05,2023-01-09,1,-,,,,
2023-01-06,PO,CR_LI_HOL/Zalisz K,MSD,780.0,2023-01-06,2023-01-09,1,-,,,,
2023-01-07,PO,CR_LI_HOL/Zalisz K,MSD,1199.0,2023-01-07,2023-01-09,1,-,,,,
2023-01-09,PO,CR_LI_HOL/Zalisz K,MSD,1047.0,2023-01-09,2023-01-09,1,-,,,,
2023-01-18,PO,CR_LI_HOL/Zalisz K,MSD,534.0,2023-01-18,2023-01-19,1,-,,,,
2023-01-19,PO,CR_LI_HOL/Zalisz K,MSD,755.0,2023-01-19,2023-01-19,1,-,,,,
2023-01-31,PO,CR_LI_HOL/Zalisz K,MSD,1029.0,2023-01-31,2023-02-03,1,-,,,,
2023-02-02,PO,CR_LI_HOL/Zalisz K,MSD,744.0,2023-02-02,2023-02-03,1,-,,,,
2023-02-03,PO,CR_LI_HOL/Zalisz K,MSD,842.0,2023-02-03,2023-02-03,1,-,,,,
2023-02-08,PO,CR_LI_HOL/Zalisz K,MSD,551.0,2023-02-08,2023-02-08,1,-,,,,
