date,product_category,reseller_name,reseller,sales,incident_start_date,incident_end_date,incident_type,incident_days,is_holiday,holiday,release_type,is_release,is_incident
2022-01-01,PO,Port,Port,513,,,,,1,Neujahr,,,
2022-01-02,PO,Port,Port,757,,,,,,,,,
2022-01-04,PO,Port,Port,932,,,,,,,,,
2022-01-07,PO,Port,Port,529,,,,,,,,,
2022-01-09,PO,Port,Port,746,,,,,,,,,
2022-01-16,PO,Port,Port,656,,,,,,,Release R22-1,1,1
2022-02-06,PO,Port,Port,1,,,,,,,,,
2022-02-13,PO,Port,Port,677,,,,,,,,,
2022-02-15,PO,Port,Port,730,,,,,,,,,
2022-02-19,PO,Port,Port,493,,,,,,,,,
2022-02-22,PO,Port,Port,743,,,,,,,,,
2022-02-26,PO,Port,Port,552,,,,,,,,,
2022-02-27,PO,Port,Port,606,,,,,,,,,
2022-02-28,PO,Port,Port,778,,,,,,,,,
2022-03-02,PO,Port,Port,575,,,,,,,,,
2022-03-05,PO,Port,Port,450,,,,,,,,,
2022-03-28,PO,Port,Port,586,,,,,,,,,
2022-04-02,PO,Port,Port,477,,,,,,,,,
2022-04-03,PO,Port,Port,514,,,,,,,,,
2022-04-04,PO,Port,Port,583,,,,,,,,,
2022-04-05,PO,Port,Port,549,,,,,,,,,
2022-04-09,PO,Port,Port,444,,,,,,,,,
2022-04-10,PO,Port,Port,478,,,,,,,,,
2022-04-15,PO,Port,Port,436,,,,,1,Karfreitag,,,
2022-04-16,PO,Port,Port,389,,,,,,,,,
2022-04-17,PO,Port,Port,373,,,,,,,,,
2022-04-18,PO,Port,Port,426,,,,,1,Ostermontag,,,
2022-04-20,PO,Port,Port,545,,,,,,,,,
2022-05-01,PO,Port,Port,524,,,,,1,Erster Mai,,,
2022-05-07,PO,Port,Port,489,,,,,,,Patch-Pool2  T-Systems,1,1
2022-05-08,PO,Port,Port,360,,,,,,,Patch-Pool2  T-Systems,1,1
2022-05-12,PO,Port,Port,1000,,,,,,,,,
2022-05-17,PO,Port,Port,825,,,,,,,,,
2022-05-20,PO,Port,Port,643,,,,,,,,,
2022-05-22,PO,Port,Port,719,,,,,,,Release R22-5,1,1
2022-05-25,PO,Port,Port,684,,,,,,,,,
2022-05-26,PO,Port,Port,644,,,,,1,Christi Himmelfahrt,,,
2022-05-28,PO,Port,Port,612,,,,,,,,,
2022-05-29,PO,Port,Port,768,,,,,,,,,
2022-05-30,PO,Port,Port,930,,,,,,,,,
2022-06-01,PO,Port,Port,876,,,,,,,,,
2022-06-12,PO,Port,Port,609,,,,,,,PROD TCS-Patching Pool 4,1,1
2022-06-13,PO,Port,Port,753,,,,,,,,,
2022-06-15,PO,Port,Port,591,,,,,,,,,
2022-06-16,PO,Port,Port,595,,,,,,,,,
2022-06-18,PO,Port,Port,441,,,,,,,,,
2022-06-19,PO,Port,Port,575,,,,,,,,,
2022-06-20,PO,Port,Port,651,,,,,,,,,
2022-06-21,PO,Port,Port,661,,,,,,,,,
2022-06-22,PO,Port,Port,685,,,,,,,,,
2022-06-23,PO,Port,Port,538,,,,,,,,,
2022-06-25,PO,Port,Port,471,,,,,,,,,
2022-06-26,PO,Port,Port,590,,,,,,,,,
2022-06-27,PO,Port,Port,752,,,,,,,,,
2022-06-29,PO,Port,Port,710,,,,,,,,,
2022-07-02,PO,Port,Port,513,,,,,,,,,
2022-07-03,PO,Port,Port,629,,,,,,,,,
2022-07-04,PO,Port,Port,733,,,,,,,,,
2022-07-05,PO,Port,Port,659,,,,,,,,,
2022-07-07,PO,Port,Port,587,,,,,,,,,
2022-07-09,PO,Port,Port,485,,,,,,,,,
2022-07-10,PO,Port,Port,674,,,,,,,,,
2022-07-14,PO,Port,Port,665,,,,,,,,,
2022-07-16,PO,Port,Port,504,,,,,,,,,
2022-07-17,PO,Port,Port,565,,,,,,,,,
2022-07-18,PO,Port,Port,664,,,,,,,,,
2022-07-19,PO,Port,Port,621,,,,,,,,,
2022-07-20,PO,Port,Port,638,,,,,,,,,
2022-07-24,PO,Port,Port,530,,,,,,,Release R22-5,1,1
2022-07-28,PO,Port,Port,636,,,,,,,,,
2022-07-29,PO,Port,Port,664,,,,,,,,,
2022-07-30,PO,Port,Port,536,,,,,,,,,
2022-07-31,PO,Port,Port,648,,,,,,,,,
2022-08-01,PO,Port,Port,774,,,,,,,,,
2022-08-02,PO,Port,Port,700,,,,,,,,,
2022-08-03,PO,Port,Port,670,,,,,,,,,
2022-08-07,PO,Port,Port,608,,,,,,,,,
2022-08-11,PO,Port,Port,717,,,,,,,,,
2022-08-14,PO,Port,Port,161,,,,,,,,,
2022-08-18,PO,Port,Port,631,,,,,,,,,
2022-08-19,PO,Port,Port,557,,,,,,,,,
2022-08-20,PO,Port,Port,569,,,,,,,,,
2022-08-21,PO,Port,Port,670,,,,,,,,,
2022-08-25,PO,Port,Port,746,,,,,,,,,
2022-08-26,PO,Port,Port,610,,,,,,,,,
2022-08-27,PO,Port,Port,518,,,,,,,,,
2022-08-28,PO,Port,Port,679,,,,,,,,,
2022-08-31,PO,Port,Port,850,,,,,,,,,
2022-09-05,PO,Port,Port,986,,,,,,,,,
2022-09-07,PO,Port,Port,568,,,,,,,,,
2022-09-11,PO,Port,Port,1096,,,,,,,,,
2022-09-12,PO,Port,Port,1058,,,,,,,,,
2022-09-14,PO,Port,Port,1027,,,,,,,,,
2022-09-16,PO,Port,Port,796,,,,,,,,,
2022-09-18,PO,Port,Port,906,,,,,,,Release R22-5,1,1
2022-09-21,PO,Port,Port,709,,,,,,,,,
2022-09-25,PO,Port,Port,709,,,,,,,,,
2022-10-03,PO,Port,Port,899,,,,,1,Tag der Deutschen Einheit,,,
2022-10-06,PO,Port,Port,553,,,,,,,,,
2022-10-08,PO,Port,Port,439,,,,,,,,,
2022-10-09,PO,Port,Port,510,,,,,,,,,
2022-10-22,PO,Port,Port,383,,,,,,,Patch-Pool2 T-Systems,1,1
2022-10-26,PO,Port,Port,584,,,,,,,,,
2022-10-28,PO,Port,Port,486,,,,,,,,,
2022-10-29,PO,Port,Port,386,,,,,,,PROD ATOS-Patching Pool 4,1,1
2022-10-30,PO,Port,Port,355,,,,,,,PROD ATOS-Patching Pool 4,1,1
2022-10-31,PO,Port,Port,336,,,,,,,,,
2022-11-01,PO,Port,Port,522,,,,,,,,,
2022-11-02,PO,Port,Port,620,,,,,,,,,
2022-11-05,PO,Port,Port,447,,,,,,,,,
2022-11-06,PO,Port,Port,566,,,,,,,,,
2022-11-07,PO,Port,Port,644,,,,,,,,,
2022-11-12,PO,Port,Port,445,,,,,,,Release R22-11,1,1
2022-11-13,PO,Port,Port,580,,,,,,,Release R22-11,1,1
2022-11-20,PO,Port,Port,835,,,,,,,,,
2022-11-21,PO,Port,Port,904,,,,,,,,,
2022-11-25,PO,Port,Port,1519,,,,,,,,,
2022-11-26,PO,Port,Port,855,,,,,,,,,
2022-11-27,PO,Port,Port,998,,,,,,,,,
2022-11-28,PO,Port,Port,1114,,,,,,,,,
2022-11-29,PO,Port,Port,1088,,,,,,,,,
2022-11-30,PO,Port,Port,737,,,,,,,,,
2022-12-03,PO,Port,Port,529,,,,,,,,,
2022-12-04,PO,Port,Port,662,,,,,,,,,
2022-12-05,PO,Port,Port,724,,,,,,,,,
2022-12-06,PO,Port,Port,570,,,,,,,,,
2022-12-08,PO,Port,Port,634,,,,,,,,,
2022-12-09,PO,Port,Port,578,,,,,,,,,
2022-12-10,PO,Port,Port,501,,,,,,,,,
2022-12-11,PO,Port,Port,638,,,,,,,,,
2022-12-15,PO,Port,Port,656,,,,,,,,,
2022-12-16,PO,Port,Port,529,,,,,,,,,
2022-12-17,PO,Port,Port,506,,,,,,,,,
2022-12-18,PO,Port,Port,600,,,,,,,,,
2022-12-21,PO,Port,Port,596,,,,,,,,,
2022-12-22,PO,Port,Port,507,,,,,,,,,
2022-12-23,PO,Port,Port,454,,,,,,,,,
2022-12-24,PO,Port,Port,300,,,,,,,,,
2022-12-25,PO,Port,Port,454,,,,,1,Erster Weihnachtstag,,,
2022-12-26,PO,Port,Port,475,,,,,1,Zweiter Weihnachtstag,,,
2022-12-28,PO,Port,Port,650,,,,,,,,,
2022-12-29,PO,Port,Port,566,,,,,,,,,
2022-12-31,PO,Port,Port,357,,,,,,,,,
2023-01-01,PO,Port,Port,380,,,,,1,Neujahr,,,
2023-01-13,PO,Port,Port,475,,,,,,,,,
2023-01-14,PO,Port,Port,452,,,,,,,,,
2023-01-15,PO,Port,Port,561,,,,,,,,,
2023-01-16,PO,Port,Port,606,,,,,,,,,
2023-01-21,PO,Port,Port,493,,,,,,,Release R23-1,1,1
2023-01-22,PO,Port,Port,426,,,,,,,Release R23-1,1,1
2023-01-24,PO,Port,Port,611,,,,,,,,,
2023-01-25,PO,Port,Port,607,,,,,,,,,
2023-01-26,PO,Port,Port,559,,,,,,,,,
2023-01-28,PO,Port,Port,546,,,,,,,,,
2023-01-29,PO,Port,Port,608,,,,,,,,,
2023-02-04,PO,Port,Port,621,,,,,,,,,
2023-02-05,PO,Port,Port,754,,,,,,,,,
2023-02-06,PO,Port,Port,695,,,,,,,,,
2023-02-24,PO,Port,Port,546,,,,,,,,,
2023-02-25,PO,Port,Port,462,,,,,,,Patch-Pool2 (FirmWare),1,1
2023-02-26,PO,Port,Port,563,,,,,,,Patch-Pool2 (FirmWare),1,1
2023-02-28,PO,Port,Port,715,,,,,,,,,
2023-03-03,PO,Port,Port,527,,,,,,,,,
2023-03-04,PO,Port,Port,532,,,,,,,,,
2023-03-05,PO,Port,Port,611,,,,,,,,,
2023-03-07,PO,Port,Port,611,,,,,,,,,
2023-03-08,PO,Port,Port,674,,,,,,,,,
2023-03-17,PO,Port,Port,420,,,,,,,,,
2023-03-18,PO,Port,Port,310,,,,,,,Release R23-3,1,1
2023-03-19,PO,Port,Port,496,,,,,,,Release R23-3,1,1
2023-03-24,PO,Port,Port,487,,,,,,,,,
2023-03-25,PO,Port,Port,454,,,,,,,NON-PROD TCS-Patching,1,1
2023-03-26,PO,Port,Port,477,,,,,,,NON-PROD TCS-Patching,1,1
2023-03-27,PO,Port,Port,715,,,,,,,,,
2023-03-28,PO,Port,Port,627,,,,,,,,,
2023-03-31,PO,Port,Port,608,,,,,,,,,
2023-04-01,PO,Port,Port,553,,,,,,,,,
2023-04-02,PO,Port,Port,652,,,,,,,,,
2023-04-22,PO,Port,Port,368,,,,,,,,,
2023-04-23,PO,Port,Port,503,,,,,,,,,
2023-04-24,PO,Port,Port,596,,,,,,,,,
2023-04-25,PO,Port,Port,591,,,,,,,,,
2023-04-28,PO,Port,Port,484,,,,,,,,,
2023-04-30,PO,Port,Port,359,,,,,,,,,
2023-05-01,PO,Port,Port,485,,,,,1,Erster Mai,,,
2023-05-02,PO,Port,Port,544,,,,,,,,,
2023-05-09,PO,Port,Port,431,,,,,,,,,
2023-05-10,PO,Port,Port,492,,,,,,,,,
2023-05-14,PO,Port,Port,302,,,,,,,,,
2023-05-18,PO,Port,Port,120,,,,,1,Christi Himmelfahrt,,,
2023-05-19,PO,Port,Port,38,,,,,,,,,
2022-01-21,PO,Port,Port,729,2022-01-21,2022-01-23,-,,,,,,1
2022-01-22,PO,Port,Port,680,2022-01-22,2022-01-23,-,,,,,,1
2022-01-23,PO,Port,Port,791,2022-01-23,2022-01-23,-,,,,,,1
2022-01-28,PO,Port,Port,746,2022-01-28,2022-01-30,-,,,,,,1
2022-03-12,PO,Port,Port,383,2022-03-12,2022-03-13,-,,,,Patch-Pool2 (FirmWare),1,1
2022-03-13,PO,Port,Port,384,2022-03-13,2022-03-13,-,,,,Patch-Pool2 (FirmWare),1,1
2022-03-19,PO,Port,Port,402,2022-03-19,2022-03-20,-,,,,Release R22-3,1,1
2022-03-20,PO,Port,Port,452,2022-03-20,2022-03-20,-,,,,Release R22-3,1,1
2022-03-25,PO,Port,Port,416,2022-03-25,2022-03-27,-,,,,,,1
2022-03-26,PO,Port,Port,392,2022-03-26,2022-03-27,-,,,,,,1
2022-03-27,PO,Port,Port,413,2022-03-27,2022-03-27,-,,,,,,1
2022-07-01,PO,Port,Port,632,2022-07-01,2022-07-01,-,,,,,,1
2022-09-04,PO,Port,Port,692,2022-09-04,2022-09-04,-,,,,,,1
2022-09-30,PO,Port,Port,752,2022-09-30,2022-10-02,-,,,,,,1
2022-10-01,PO,Port,Port,734,2022-10-01,2022-10-02,-,,,,,,1
2022-10-02,PO,Port,Port,736,2022-10-02,2022-10-02,-,,,,,,1
2023-01-03,PO,Port,Port,807,2023-01-03,2023-01-09,-,,,,,,1
2023-01-04,PO,Port,Port,667,2023-01-04,2023-01-09,-,,,,,,1
2023-01-05,PO,Port,Port,628,2023-01-05,2023-01-09,-,,,,,,1
2023-01-06,PO,Port,Port,496,2023-01-06,2023-01-09,-,,,,,,1
2023-01-07,PO,Port,Port,490,2023-01-07,2023-01-09,-,,,,,,1
2023-01-08,PO,Port,Port,506,2023-01-08,2023-01-09,-,,,,,,1
2023-01-09,PO,Port,Port,646,2023-01-09,2023-01-09,-,,,,,,1
2023-01-18,PO,Port,Port,601,2023-01-18,2023-01-19,-,,,,,,1
2023-01-19,PO,Port,Port,623,2023-01-19,2023-01-19,-,,,,,,1
2023-01-31,PO,Port,Port,690,2023-01-31,2023-02-03,-,,,,,,1
2023-02-02,PO,Port,Port,707,2023-02-02,2023-02-03,-,,,,,,1
2023-02-03,PO,Port,Port,651,2023-02-03,2023-02-03,-,,,,,,1
2023-02-08,PO,Port,Port,648,2023-02-08,2023-02-08,-,,,,,,1
2023-02-12,PO,Port,Port,664,2023-02-12,2023-02-13,-,,,,PROD TCS-Patching Pool 4,1,1
2023-03-02,PO,Port,Port,638,2023-03-02,2023-03-02,-,,,,,,1
2023-05-12,PO,Port,Port,356,2023-05-12,2023-05-12,-,,,,,,1
2023-05-16,PO,Port,Port,210,2023-05-16,2023-05-17,-,,,,,,1
2022-04-30,PO,Port,Port,400,2022-04-30,2022-04-30,Ausfall,,,,,,1
2022-01-18,PO,Port,Port,759,2022-01-18,2022-01-23,Einschränkung,,,,,,1
2022-01-26,PO,Port,Port,870,2022-01-26,2022-01-30,Einschränkung,,,,,,1
2022-01-30,PO,Port,Port,775,2022-01-30,2022-01-31,Einschränkung,,,,,,1
2022-01-31,PO,Port,Port,913,2022-01-31,2022-01-31,Einschränkung,,,,,,1
2022-02-02,PO,Port,Port,778,2022-02-02,2022-02-05,Einschränkung,,,,,,1
2022-02-03,PO,Port,Port,696,2022-02-03,2022-02-05,Einschränkung,,,,,,1
2022-02-04,PO,Port,Port,597,2022-02-04,2022-02-05,Einschränkung,,,,,,1
2022-02-05,PO,Port,Port,552,2022-02-05,2022-02-05,Einschränkung,,,,,,1
2022-03-17,PO,Port,Port,602,2022-03-17,2022-03-20,Einschränkung,,,,,,1
2022-03-18,PO,Port,Port,473,2022-03-18,2022-03-20,Einschränkung,,,,,,1
2022-03-22,PO,Port,Port,506,2022-03-22,2022-03-27,Einschränkung,,,,,,1
2022-04-01,PO,Port,Port,536,2022-04-01,2022-04-01,Einschränkung,,,,,,1
2022-04-08,PO,Port,Port,450,2022-04-08,2022-04-08,Einschränkung,,,,,,1
2022-04-13,PO,Port,Port,459,2022-04-13,2022-04-14,Einschränkung,,,,,,1
2022-04-14,PO,Port,Port,447,2022-04-14,2022-04-14,Einschränkung,,,,,,1
2022-04-22,PO,Port,Port,433,2022-04-22,2022-04-25,Einschränkung,,,,,,1
2022-04-23,PO,Port,Port,379,2022-04-23,2022-04-25,Einschränkung,,,,,,1
2022-04-24,PO,Port,Port,463,2022-04-24,2022-04-25,Einschränkung,,,,,,1
2022-04-25,PO,Port,Port,621,2022-04-25,2022-04-25,Einschränkung,,,,,,1
2022-04-28,PO,Port,Port,543,2022-04-28,2022-04-28,Einschränkung,,,,,,1
2022-05-04,PO,Port,Port,761,2022-05-04,2022-05-05,Einschränkung,,,,,,1
2022-05-05,PO,Port,Port,759,2022-05-05,2022-05-05,Einschränkung,,,,,,1
2022-05-14,PO,Port,Port,573,2022-05-14,2022-05-16,Einschränkung,,,,,,1
2022-05-15,PO,Port,Port,733,2022-05-15,2022-05-16,Einschränkung,,,,,,1
2022-05-24,PO,Port,Port,764,2022-05-24,2022-05-24,Einschränkung,,,,,,1
2022-06-03,PO,Port,Port,592,2022-06-03,2022-06-08,Einschränkung,,,,,,1
2022-06-04,PO,Port,Port,522,2022-06-04,2022-06-08,Einschränkung,,,,,,1
2022-06-05,PO,Port,Port,580,2022-06-05,2022-06-08,Einschränkung,,,,,,1
2022-06-06,PO,Port,Port,714,2022-06-06,2022-06-08,Einschränkung,,1,Pfingstmontag,,,1
2022-06-08,PO,Port,Port,802,2022-06-08,2022-06-08,Einschränkung,,,,,,1
2022-06-10,PO,Port,Port,538,2022-06-10,2022-06-10,Einschränkung,,,,,,1
2022-08-09,PO,Port,Port,672,2022-08-09,2022-08-09,Einschränkung,,,,,,1
2022-09-02,PO,Port,Port,630,2022-09-02,2022-09-02,Einschränkung,,,,,,1
2022-10-15,PO,Port,Port,467,2022-10-15,2022-10-17,Einschränkung,,,,,,1
2022-10-19,PO,Port,Port,526,2022-10-19,2022-10-19,Einschränkung,,,,,,1
2022-11-09,PO,Port,Port,632,2022-11-09,2022-11-11,Einschränkung,,,,,,1
2022-11-10,PO,Port,Port,597,2022-11-10,2022-11-11,Einschränkung,,,,,,1
2023-02-16,PO,Port,Port,582,2023-02-16,2023-02-16,Einschränkung,,,,,,1
2023-02-18,PO,Port,Port,459,2023-02-18,2023-02-20,Einschränkung,,,,,,1
2023-02-20,PO,Port,Port,560,2023-02-20,2023-02-20,Einschränkung,,,,,,1
2023-02-22,PO,Port,Port,535,2023-02-22,2023-02-22,Einschränkung,,,,,,1
2023-03-10,PO,Port,Port,487,2023-03-10,2023-03-12,Einschränkung,,,,,,1
2023-03-12,PO,Port,Port,592,2023-03-12,2023-03-12,Einschränkung,,,,,,1
2023-03-15,PO,Port,Port,593,2023-03-15,2023-03-16,Einschränkung,,,,,,1
2023-03-16,PO,Port,Port,543,2023-03-16,2023-03-16,Einschränkung,,,,,,1
2023-03-21,PO,Port,Port,556,2023-03-21,2023-03-21,Einschränkung,,,,,,1
2023-04-06,PO,Port,Port,386,2023-04-06,2023-04-17,Einschränkung,,,,,,1
2023-04-07,PO,Port,Port,410,2023-04-07,2023-04-17,Einschränkung,,1,Karfreitag,,,1
2023-04-08,PO,Port,Port,338,2023-04-08,2023-04-17,Einschränkung,,,,,,1
2023-04-09,PO,Port,Port,365,2023-04-09,2023-04-17,Einschränkung,,,,,,1
2023-04-12,PO,Port,Port,586,2023-04-12,2023-04-17,Einschränkung,,,,,,1
2023-04-15,PO,Port,Port,464,2023-04-15,2023-04-17,Einschränkung,,,,,,1
2023-04-16,PO,Port,Port,528,2023-04-16,2023-04-17,Einschränkung,,,,,,1
2023-04-18,PO,Port,Port,721,2023-04-18,2023-04-21,Einschränkung,,,,,,1
2023-04-20,PO,Port,Port,438,2023-04-20,2023-04-21,Einschränkung,,,,,,1
2023-04-21,PO,Port,Port,475,2023-04-21,2023-04-21,Einschränkung,,,,,,1
2023-05-07,PO,Port,Port,390,2023-05-07,2023-05-08,Einschränkung,,,,Patch-Pool1 (1. Patching) T-Systems + TCS,1,1
2022-10-13,PO,Port,Port,569,2022-10-13,2022-10-13,"Ausfall

Einschränkung (eDEL)",,,,,,1
2022-02-09,PO,Port,Port,822,2022-02-09,2022-02-09,-,1,,,,,1
2022-05-18,PO,Port,Port,748,2022-05-18,2022-05-18,-,1,,,,,1
2022-05-19,PO,Port,Port,752,2022-05-19,2022-05-19,-,1,,,,,1
2022-06-14,PO,Port,Port,688,2022-06-14,2022-06-14,-,1,,,,,1
2022-07-08,PO,Port,Port,463,2022-07-08,2022-07-08,-,1,,,,,1
2022-07-12,PO,Port,Port,663,2022-07-12,2022-07-12,-,1,,,,,1
2022-07-13,PO,Port,Port,639,2022-07-13,2022-07-13,-,1,,,,,1
2022-07-15,PO,Port,Port,545,2022-07-15,2022-07-15,-,1,,,,,1
2022-07-22,PO,Port,Port,558,2022-07-22,2022-07-22,-,1,,,,,1
2022-08-05,PO,Port,Port,603,2022-08-05,2022-08-05,-,1,,,,,1
2022-08-15,PO,Port,Port,866,2022-08-15,2022-08-15,-,1,,,,,1
2022-08-17,PO,Port,Port,666,2022-08-17,2022-08-17,-,1,,,,,1
2022-09-17,PO,Port,Port,671,2022-09-17,2022-09-17,-,1,,,Release R22-9,1,1
2022-11-03,PO,Port,Port,585,2022-11-03,2022-11-03,-,1,,,,,1
2022-11-17,PO,Port,Port,783,2022-11-17,2022-11-17,-,1,,,,,1
2022-11-23,PO,Port,Port,722,2022-11-23,2022-11-23,-,1,,,,,1
2023-01-27,PO,Port,Port,561,2023-01-27,2023-01-27,-,1,,,,,1
2023-03-06,PO,Port,Port,642,2023-03-06,2023-03-06,-,1,,,,,1
2023-03-23,PO,Port,Port,507,2023-03-23,2023-03-23,-,1,,,,,1
2023-04-26,PO,Port,Port,602,2023-04-26,2023-04-26,-,1,,,,,1
2022-01-13,PO,Port,Port,711,2022-01-13,2022-01-15,Ausfall,1,,,,,1
2022-01-14,PO,Port,Port,646,2022-01-14,2022-01-15,Ausfall,1,,,,,1
2022-02-12,PO,Port,Port,589,2022-02-12,2022-02-12,Ausfall,1,,,,,1
2022-04-19,PO,Port,Port,579,2022-04-19,2022-04-19,Ausfall,1,,,,,1
2022-05-21,PO,Port,Port,575,2022-05-21,2022-05-21,Ausfall,1,,,Release R22-5,1,1
2022-06-24,PO,Port,Port,503,2022-06-24,2022-06-24,Ausfall,1,,,,,1
2022-07-06,PO,Port,Port,671,2022-07-06,2022-07-06,Ausfall,1,,,,,1
2022-07-21,PO,Port,Port,536,2022-07-21,2022-07-21,Ausfall,1,,,,,1
2022-07-27,PO,Port,Port,658,2022-07-27,2022-07-27,Ausfall,1,,,,,1
2022-08-13,PO,Port,Port,129,2022-08-13,2022-08-13,Ausfall,1,,,,,1
2022-09-08,PO,Port,Port,615,2022-09-08,2022-09-08,Ausfall,1,,,,,1
2022-09-10,PO,Port,Port,1179,2022-09-10,2022-09-10,Ausfall,1,,,,,1
2022-09-13,PO,Port,Port,1122,2022-09-13,2022-09-13,Ausfall,1,,,,,1
2022-09-15,PO,Port,Port,971,2022-09-15,2022-09-15,Ausfall,1,,,,,1
