date,product_category,reseller_name,reseller,sales,incident_start_date,incident_end_date,incident_type,incident_days,is_holiday,holiday,release_type,is_release,is_incident
2022-01-01,PO,Telesales,TSI,1,,,,,1,Neujahr,,,
2022-01-04,PO,Telesales,TSI,372,,,,,,,,,
2022-01-07,PO,Telesales,TSI,235,,,,,,,,,
2022-01-09,PO,Telesales,TSI,2,,,,,,,,,
2022-02-13,PO,Telesales,TSI,3,,,,,,,,,
2022-02-15,PO,Telesales,TSI,353,,,,,,,,,
2022-02-19,PO,Telesales,TSI,129,,,,,,,,,
2022-02-22,PO,Telesales,TSI,329,,,,,,,,,
2022-02-26,PO,Telesales,TSI,149,,,,,,,,,
2022-02-27,PO,Telesales,TSI,3,,,,,,,,,
2022-02-28,PO,Telesales,TSI,376,,,,,,,,,
2022-03-02,PO,Telesales,TSI,313,,,,,,,,,
2022-03-05,PO,Telesales,TSI,149,,,,,,,,,
2022-03-28,PO,Telesales,TSI,390,,,,,,,,,
2022-04-02,PO,Telesales,TSI,130,,,,,,,,,
2022-04-03,PO,Telesales,TSI,2,,,,,,,,,
2022-04-04,PO,Telesales,TSI,406,,,,,,,,,
2022-04-05,PO,Telesales,TSI,394,,,,,,,,,
2022-04-09,PO,Telesales,TSI,107,,,,,,,,,
2022-04-10,PO,Telesales,TSI,2,,,,,,,,,
2022-04-16,PO,Telesales,TSI,140,,,,,,,,,
2022-04-17,PO,Telesales,TSI,2,,,,,,,,,
2022-04-18,PO,Telesales,TSI,2,,,,,1,Ostermontag,,,
2022-04-20,PO,Telesales,TSI,346,,,,,,,,,
2022-05-01,PO,Telesales,TSI,2,,,,,1,Erster Mai,,,
2022-05-07,PO,Telesales,TSI,168,,,,,,,Patch-Pool2  T-Systems,1,1
2022-05-08,PO,Telesales,TSI,1,,,,,,,Patch-Pool2  T-Systems,1,1
2022-05-12,PO,Telesales,TSI,403,,,,,,,,,
2022-05-17,PO,Telesales,TSI,425,,,,,,,,,
2022-05-20,PO,Telesales,TSI,331,,,,,,,,,
2022-05-22,PO,Telesales,TSI,3,,,,,,,Release R22-5,1,1
2022-05-25,PO,Telesales,TSI,330,,,,,,,,,
2022-05-26,PO,Telesales,TSI,3,,,,,1,Christi Himmelfahrt,,,
2022-05-28,PO,Telesales,TSI,164,,,,,,,,,
2022-05-29,PO,Telesales,TSI,3,,,,,,,,,
2022-05-30,PO,Telesales,TSI,530,,,,,,,,,
